imo,vesteu
9785469,12000-16000
9785471,12000-16000
9786724,8000-12000
9786750,1000-4000
9786815,16000-30000
9786827,16000-30000
9786839,16000-30000
9786841,16000-30000
9789635,16000-30000
9791078,0-250
9791937,0-250
9795610,16000-30000
9795622,16000-30000
9795646,16000-30000
9800180,0-250
9801160,0-250
9801574,0-250
9802413,0-250
9802487,1000-4000
9802499,1000-4000
9802504,1000-4000
9802695,0-250
9803675,1000-4000
9803687,1000-4000
9803699,1000-4000
9803704,1000-4000
9805465,12000-16000
9805568,0-250
9806081,12000-16000
9810915,1000-4000
9810991,16000-30000
9811000,16000-30000
9811012,16000-30000
9813096,0-250
9813993,1000-4000
9814002,1000-4000
9814014,1000-4000
9818321,0-250
9818400,1000-4000
9818931,0-250
9820855,16000-30000
9820922,16000-30000
9829485,0-250
9832494,0-250
9832717,16000-30000
9832729,16000-30000
9834985,0-250
9839131,16000-30000
9839143,16000-30000
9839155,16000-30000
9839167,16000-30000
9839179,16000-30000
9839181,16000-30000
9839193,16000-30000
9839208,16000-30000
9839210,16000-30000
9842085,12000-16000
9845099,0-250
9845659,1000-4000
9845661,1000-4000
9845673,1000-4000
9850680,0-250
9851220,0-250
9851347,0-250
9857119,0-250
9857432,1000-4000
9857444,1000-4000
9862413,0-250
9863170,0-250
9863297,16000-30000
9863302,16000-30000
9863314,16000-30000
9863326,16000-30000
9863338,16000-30000
9863340,16000-30000
9864332,0-250
9864368,0-250
9865350,0-250
9866251,1000-4000
9867798,0-250
9868314,16000-30000
9868326,16000-30000
9868338,16000-30000
9868340,16000-30000
9868352,16000-30000
9868364,16000-30000
9869162,16000-30000
9869174,12000-16000
9869186,12000-16000
9869198,12000-16000
9869203,12000-16000
9869227,12000-16000
9869239,12000-16000
9877339,0-250
9890599,0-250
9893890,16000-30000
9893905,16000-30000
9893917,16000-30000
9893929,16000-30000
9893931,16000-30000
9893943,16000-30000
9893955,16000-30000
9893979,16000-30000
9893993,16000-30000
9896995,16000-30000
9897133,0-250
9901362,0-250
9903138,0-250
9904869,0-250
9909132,16000-30000
9911434,0-250
9911446,0-250
9919577,0-250
9924194,12000-16000
9934357,12000-16000
9934905,0-250
9942304,0-250
